Term,Subject,Course Number,Section,CRN,Title,Primary Instructor,Instructor ID,Status,Campus,Grade Mode,Maximum Enrollment,Actual Enrollment,Seats Available,Dean's Expected Enrollment,Waitlist,Start Date,End Date,Building,Room,Days,Start Time,End Time,College,Department,Fee #1 Detail Code,Fee #1 Name,Fee #1 Type,Fee #1 Amount,Fee #2 Detail Code,Fee #2 Name,Fee #2 Type,Fee #2 Amount,Instruction Method,Schedule Code,Part of Term,Level,Gened,Attributes
Spring 2017,A HI,4883,20,31157,Chinese Art,Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH020,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,SAB,1,UDIV,NWC,FCB IS NUD NWC REEX SLST UD UDIV UIS
Spring 2017,A HI,4883,101,32102,Chinese Art,Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH001,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,SAB,1,UDIV,NWC,FCB IS NUD NWC REEX SLST UD UDIV UIS
Spring 2017,A HI,4913,2,36214,Art/Music Mid-Ages Renaissance,Susan H Caldwell,112129511,Active,Norman - Main Campus,L,0,0,0,0,0,1/17/17,5/5/17,CMC,131,M/W/F,930,1020,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,,FA LIB NUD SLST SPCL UDIV UFA VART VTCR
Spring 2017,A HI,4930,41,36575,Internship,Allison L Palmer,112112303,Active,Norman - Main Campus,S,5,2,3,0,0,1/17/17,5/12/17,,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,PBA,1,UDIV,,FA NUD RPCR SPCL UDIV UFA
Spring 2017,A HI,4930,42,21328,Museum Internship,Victor K Youritzin,112111603,Active,Norman - Main Campus,S,5,0,5,0,0,1/17/17,5/12/17,FJC,217,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,PBA,1,UDIV,,FA GCUD NUD SPCL UDIV UFA VART VTCR
Spring 2017,A HI,4930,44,23388,Internship, ,,Active,Norman - Main Campus,S,0,0,0,0,0,1/17/17,5/12/17,FJC,411,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,PBA,1,UDIV,,FA GCUD NUD SPCL UDIV UFA VART VTCR
Spring 2017,A HI,4930,49,21329,Museum Internship, ,,Active,Norman - Main Campus,S,0,0,0,0,0,1/17/17,5/12/17,FJC,217,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,PBA,1,UDIV,,FA GCUD NUD SPCL UDIV UFA VART VTCR
Spring 2017,A HI,4960,40,21373,Directed Readings,Robert Bailey,113025345,Active,Norman - Main Campus,L,10,3,7,0,0,1/17/17,5/12/17,FJC,216,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
Spring 2017,A HI,4960,41,23111,Directed Readings,Allison L Palmer,112112303,Active,Norman - Main Campus,L,0,0,0,0,0,1/17/17,5/12/17,,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
Spring 2017,A HI,4960,42,21375,Directed Readings,Victor K Youritzin,112111603,Active,Norman - Main Campus,L,10,0,10,0,0,1/17/17,5/12/17,FJC,217,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
