Term,Subject,Course Number,Section,CRN,Title,Primary Instructor,Instructor ID,Status,Campus,Grade Mode,Maximum Enrollment,Actual Enrollment,Seats Available,Dean's Expected Enrollment,Waitlist,Start Date,End Date,Building,Room,Days,Start Time,End Time,College,Department,Fee #1 Detail Code,Fee #1 Name,Fee #1 Type,Fee #1 Amount,Fee #2 Detail Code,Fee #2 Name,Fee #2 Type,Fee #2 Amount,Instruction Method,Schedule Code,Part of Term,Level,Gened,Attributes
Fall 2017,A HI,4913,1,38230,Seminar on Abstract Art, ,,Active,Norman - Main Campus,L,15,0,15,0,0,8/21/17,12/8/17,OFC,204,M/W,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,UDIV,,FA LIB NUD SLST SPCL UDIV UFA VART VTCR
Fall 2017,A HI,4960,1,14474,Directed Readings, ,,Active,Norman - Main Campus,L,10,0,10,0,0,8/21/17,12/15/17,FJC,216,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SPCL UDIV UFA
Fall 2017,A HI,4970,105,31188,Byzantine Art/Architecture II,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH005,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,FA NUD UDIV UFA VART
Fall 2017,A HI,4970,159,31189,Intro to Modern Art History,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,FA NUD UDIV UFA VART
Fall 2017,A HI,4970,189,31180,History of Spanish Art,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH089,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,FA NUD UDIV UFA VART
Fall 2017,A HI,4970,195,31182,Modern Spanish Art (Pt I),Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH095,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,FA NUD UDIV UFA VART
Fall 2017,A HI,4970,259,31191,Hist. of Decorative Art (Pt I),Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,FA NUD UDIV UFA VART
Fall 2017,A HI,4970,295,31185,Modern Spanish Art (Pt II),Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH095,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,FA NUD UDIV UFA VART
Fall 2017,A HI,4970,359,31192,Hist. of Decorative Art(Pt II),Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,FA NUD UDIV UFA VART
Fall 2017,A HI,4970,459,31193,History & Artistic Problems 2,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,FA NUD UDIV UFA VART
Fall 2017,A HI,4993,1,37267,Senior Capstone Experience, ,,Active,Norman - Main Campus,L,5,0,5,0,0,8/21/17,12/15/17,,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,CAP,CAP FA NUD SPCL UDIV UFA
Fall 2017,A HI,5210,1,37268,Graduate Readings, ,,Active,Norman - Main Campus,S,5,0,5,0,0,8/21/17,12/15/17,,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,IST,1,GRAD,,FA FCB GFA GRAD NGR SPCL VART VTCR
Fall 2017,A HI,5220,1,37269,Graduate Projects, ,,Active,Norman - Main Campus,L,5,0,5,0,0,8/21/17,12/15/17,,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,IST,1,GRAD,,FA FCB GFA GRAD NGR SPCL VART VTCR
Fall 2017,A HI,5643,1,38228,Art After Modernism, ,,Active,Norman - Main Campus,L,5,0,5,0,0,8/21/17,12/8/17,FJC,317,T/R,1030,1145,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,GRAD,,FA GFA GRAD NGR SLST SPCL
Fall 2017,A HI,5743,900,14386,Amer West-Art/Photo/Pop Cultr,B. Byron Price,112128334,Active,Norman - Main Campus,L,5,0,5,0,0,8/21/17,12/8/17,FJC,203,T,1830,2120,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,GRAD,,FA GFA GRAD NGR SLST
Fall 2017,A HI,5903,1,33224,Methodologies and Theories,Robert Bailey,113025345,Active,Norman - Main Campus,L,10,0,10,0,0,8/21/17,12/8/17,FJC,204,T/R,1300,1415,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,GRAD,,FA GFA GRAD LIB NGR
Fall 2017,A HI,5913,1,38233,Seminar on Abstract Art, ,,Active,Norman - Main Campus,L,5,0,5,0,0,8/21/17,12/8/17,OFC,204,M/W,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,GRAD,,FA GFA GRAD LIB NGR SLST SPCL VART VTCR
Fall 2017,A HI,5960,1,14899,Directed Readings, ,,Active,Norman - Main Campus,S,5,0,5,0,0,8/21/17,12/15/17,FJC,216,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,GRAD,,FA GFA GRAD NGR SPCL
Fall 2017,A HI,5972,1,14971,Thesis Proposal, ,,Active,Norman - Main Campus,S,5,0,5,0,0,8/21/17,12/15/17,FJC,216,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,GRAD,,FA GFA GRAD NGR
Fall 2017,A HI,5972,2,37556,Thesis Proposal, ,,Active,Norman - Main Campus,S,1,0,1,0,0,8/21/17,12/15/17,,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,GRAD,,FA GFA GRAD NGR SPCL
Fall 2017,A HI,5980,1,15027,Research for Master's Thesis, ,,Active,Norman - Main Campus,X,5,0,5,0,0,8/21/17,12/15/17,FJC,216,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,TDS,1,GRAD,,FA GFA GRAD NGR VART
Fall 2017,A HI,6513,1,38208,Issues Recent Amer Art History, ,,Active,Norman - Main Campus,L,0,0,0,0,0,8/21/17,12/8/17,OFC,103,T/R,1330,1445,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,GRAD,,FA GFA GRAD LIB NGR
Fall 2017,A HI,6960,1,30284,Directed Readings, ,,Active,Norman - Main Campus,S,5,0,5,0,0,8/21/17,12/15/17,FJC,411,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,GRAD,,FA GFA GRAD NGR
Fall 2017,A HI,6960,2,37500,Directed Readings, ,,Active,Norman - Main Campus,S,5,0,5,0,0,8/21/17,12/15/17,FJC,223,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,GRAD,,FA GFA GRAD NGR SPCL
Fall 2017,A HI,6973,1,28364,Dissertation Proposal, ,,Active,Norman - Main Campus,L,5,0,5,0,0,8/21/17,12/15/17,,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,TDS,1,GRAD,,FA GFA GRAD NGR
